chip,method,feasible,initial_hpwl,refined_hpwl,accepted_moves,refine_passes,refine_method,runtime_sec
n200,maxrects:target_yx+fit,True,500873.0000,500873.0000,0,0,none,3.4881
n300,shelf_bfd:narrow,True,644690.0000,644690.0000,0,0,none,0.0023
n300,shelf_bfd:wide,True,644387.5000,644387.5000,0,0,none,0.0022
n300,shelf_bfd:native,True,644118.5000,644118.5000,0,0,none,0.0021
n300,shelf:degree_area+narrow,False,,,0,,,0.0002
n300,shelf:degree_area+wide,False,,,0,,,0.0002
n300,shelf:degree_area+native,False,,,0,,,0.0001
n300,shelf:area_degree+narrow,False,,,0,,,0.0002
n300,shelf:area_degree+wide,False,,,0,,,0.0002
n300,shelf:area_degree+native,False,,,0,,,0.0001
n300,shelf:max_side+narrow,True,647403.5000,647403.5000,0,0,none,0.0015
n300,shelf:max_side+wide,False,,,0,,,0.0002
n300,shelf:max_side+native,False,,,0,,,0.0001
n300,shelf:target_xy+narrow,False,,,0,,,0.0002
n300,shelf:target_xy+wide,False,,,0,,,0.0002
n300,shelf:target_xy+native,False,,,0,,,0.0001
n300,shelf:target_yx+narrow,False,,,0,,,0.0002
n300,shelf:target_yx+wide,False,,,0,,,0.0002
n300,shelf:target_yx+native,False,,,0,,,0.0001
n300,shelf:serpentine_x+narrow,False,,,0,,,0.0003
n300,shelf:serpentine_x+wide,False,,,0,,,0.0005
n300,shelf:serpentine_x+native,False,,,0,,,0.0003
n300,shelf:serpentine_y+narrow,False,,,0,,,0.0005
n300,shelf:serpentine_y+wide,False,,,0,,,0.0002
n300,shelf:serpentine_y+native,False,,,0,,,0.0001
n300,shelf:centre_first+narrow,False,,,0,,,0.0003
n300,shelf:centre_first+wide,False,,,0,,,0.0002
n300,shelf:centre_first+native,False,,,0,,,0.0001
n300,shelf:perimeter_first+narrow,False,,,0,,,0.0002
n300,shelf:perimeter_first+wide,False,,,0,,,0.0002
n300,shelf:perimeter_first+native,False,,,0,,,0.0001
n300,shelf:degree_area_rev+narrow,False,,,0,,,0.0002
n300,shelf:degree_area_rev+wide,False,,,0,,,0.0002
n300,shelf:degree_area_rev+native,False,,,0,,,0.0001
n300,shelf:target_xy_rev+narrow,False,,,0,,,0.0002
n300,shelf:target_xy_rev+wide,False,,,0,,,0.0002
n300,shelf:target_xy_rev+native,False,,,0,,,0.0001
n300,maxrects:degree_area+wire,True,600456.5000,593534.5000,47,2,fast_hpwl_breakpoint,17.7656
n300,maxrects:degree_area+target,True,645027.0000,645027.0000,0,0,none,6.1513
n300,maxrects:degree_area+fit,True,844852.5000,844852.5000,0,0,none,5.3349
n300,maxrects:area_degree+wire,True,603364.0000,603364.0000,0,0,none,8.3969
n300,maxrects:area_degree+target,True,652703.0000,652703.0000,0,0,none,5.8828
n300,maxrects:area_degree+fit,True,841213.5000,841213.5000,0,0,none,4.2050
n300,maxrects:target_xy+wire,True,563981.0000,560492.5000,34,2,fast_hpwl_breakpoint,26.6599
n300,maxrects:target_xy+target,True,735141.5000,735141.5000,0,0,none,6.3000
n300,maxrects:target_xy+fit,True,679869.0000,679869.0000,0,0,none,5.6559
n300,maxrects:target_yx+wire,True,582961.5000,576107.0000,59,2,fast_hpwl_breakpoint,23.2578
n300,maxrects:target_yx+target,True,703972.0000,703972.0000,0,0,none,6.4620
n300,maxrects:target_yx+fit,True,714402.5000,714402.5000,0,0,none,5.4791
